PF02823	PF02823.18
PF05680	PF05680.14
PF04627	PF04627.15
PF08112	PF08112.13
PF01990	PF01990.19
PF05511	PF05511.13
PF04718	PF04718.17
PF03899	PF03899.17
PF04911	PF04911.14
PF05827	PF05827.14
PF16594	PF16594.7
PF06644	PF06644.13
PF07542	PF07542.13
PF12921	PF12921.9
PF11022	PF11022.10
PF02038	PF02038.18
PF06745	PF06745.15
PF12156	PF12156.10
PF01637	PF01637.20
PF09527	PF09527.12
PF18130	PF18130.3
PF14397	PF14397.8
PF15632	PF15632.8
PF14305	PF14305.8
PF14398	PF14398.8
PF12966	PF12966.9
PF03029	PF03029.19
PF03668	PF03668.17
PF01171	PF01171.22
PF12424	PF12424.10
PF10775	PF10775.11
PF14960	PF14960.8
PF05493	PF05493.15
PF09830	PF09830.11
PF16829	PF16829.7
PF05353	PF05353.13
PF03154	PF03154.17
PF15445	PF15445.8
PF06232	PF06232.13
PF11263	PF11263.10
PF03769	PF03769.17
PF03768	PF03768.17
PF18800	PF18800.3
PF08037	PF08037.13
PF11512	PF11512.10
PF07287	PF07287.13
PF09759	PF09759.11
PF12547	PF12547.10
PF08098	PF08098.13
PF18461	PF18461.3
PF02178	PF02178.21
PF18637	PF18637.3
PF15187	PF15187.8
PF11583	PF11583.10
PF09041	PF09041.12
PF03472	PF03472.17
PF00765	PF00765.19
PF03987	PF03987.17
PF03797	PF03797.21
PF06677	PF06677.14
PF15336	PF15336.8
PF02041	PF02041.18
PF05703	PF05703.13
PF02519	PF02519.16
PF05564	PF05564.14
PF06507	PF06507.15
PF02309	PF02309.18
PF17198	PF17198.6
PF03708	PF03708.16
PF01382	PF01382.19
PF11599	PF11599.10
PF09794	PF09794.11
PF05394	PF05394.13
PF05655	PF05655.13
PF11725	PF11725.10
PF11529	PF11529.10
PF18661	PF18661.3
PF18241	PF18241.3
PF18247	PF18247.3
PF09143	PF09143.12
PF11592	PF11592.10
PF09046	PF09046.12
PF16847	PF16847.7
PF05627	PF05627.13
